Unix,Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USDT,tradecount
1580000000000.0,2020-01-01 01:00:00+00:00,BCHUSDT,204.46,207.17,204.29,206.19,2985.16511,615321.0252,2299
1580000000000.0,2020-01-01 02:00:00+00:00,BCHUSDT,206.25,207.88,206.16,207.38,1069.88154,221535.6458,1050
1580000000000.0,2020-01-01 03:00:00+00:00,BCHUSDT,207.33,207.33,205.45,205.71,1925.31346,397185.9506,1034
1580000000000.0,2020-01-01 04:00:00+00:00,BCHUSDT,205.71,207.06,205.21,206.2,1535.31679,316499.1375,981
1580000000000.0,2020-01-01 05:00:00+00:00,BCHUSDT,206.2,206.85,206.1,206.54,495.63306,102324.8804,492
1580000000000.0,2020-01-01 06:00:00+00:00,BCHUSDT,206.58,207.48,206.5,207.01,865.45234,179221.4242,521
1580000000000.0,2020-01-01 07:00:00+00:00,BCHUSDT,207.06,207.5,206.22,206.59,1884.40143,390082.1672,2026
1580000000000.0,2020-01-01 08:00:00+00:00,BCHUSDT,206.56,206.56,204.94,206.21,2039.19706,419210.7442,1453
1580000000000.0,2020-01-01 09:00:00+00:00,BCHUSDT,206.13,206.74,205.1,205.27,1091.60612,224736.1917,920
1580000000000.0,2020-01-01 10:00:00+00:00,BCHUSDT,205.26,206.72,205.01,206.42,919.1101,189440.6281,967
1580000000000.0,2020-01-01 11:00:00+00:00,BCHUSDT,206.41,209.0,205.5,205.96,5672.28198,1176779.818,2746
1580000000000.0,2020-01-01 12:00:00+00:00,BCHUSDT,205.96,207.56,205.95,207.23,860.27024,177966.1473,888
1580000000000.0,2020-01-01 13:00:00+00:00,BCHUSDT,207.27,207.7,206.74,207.05,1096.01717,227096.828,730
1580000000000.0,2020-01-01 14:00:00+00:00,BCHUSDT,207.08,207.45,205.7,206.26,2527.77181,521873.5803,1799
1580000000000.0,2020-01-01 15:00:00+00:00,BCHUSDT,206.25,207.39,205.3,206.06,2775.31265,572338.1158,2317
1580000000000.0,2020-01-01 16:00:00+00:00,BCHUSDT,206.07,207.1,205.56,207.08,1624.41968,335064.3946,1545
1580000000000.0,2020-01-01 17:00:00+00:00,BCHUSDT,207.1,207.1,206.02,206.44,1276.30407,263621.5357,1024
1580000000000.0,2020-01-01 18:00:00+00:00,BCHUSDT,206.44,206.84,205.56,206.22,688.38615,141936.678,752
1580000000000.0,2020-01-01 19:00:00+00:00,BCHUSDT,206.17,206.17,205.17,205.27,1043.06121,214442.1815,984
1580000000000.0,2020-01-01 20:00:00+00:00,BCHUSDT,205.32,207.0,205.22,206.48,1946.0557,401410.3728,1737
1580000000000.0,2020-01-01 21:00:00+00:00,BCHUSDT,206.47,206.47,205.25,205.71,3307.66171,680634.9646,1863
1580000000000.0,2020-01-01 22:00:00+00:00,BCHUSDT,205.66,205.66,204.22,204.86,2137.17935,438346.278,1801
1580000000000.0,2020-01-01 23:00:00+00:00,BCHUSDT,204.83,204.87,203.1,204.44,2595.81193,529253.01,1907
1580000000000.0,2020-01-02 00:00:00+00:00,BCHUSDT,204.43,205.53,203.7,204.94,1284.49132,262675.5106,1137
1580000000000.0,2020-01-02 01:00:00+00:00,BCHUSDT,204.94,204.98,204.3,204.4,732.49298,149933.3103,540
1580000000000.0,2020-01-02 02:00:00+00:00,BCHUSDT,204.38,204.38,202.89,203.52,6317.34667,1283609.206,2683
1580000000000.0,2020-01-02 03:00:00+00:00,BCHUSDT,203.47,203.47,200.55,201.08,5539.98377,1118476.124,2859
1580000000000.0,2020-01-02 04:00:00+00:00,BCHUSDT,201.06,202.45,200.63,201.88,2956.08704,596301.992,2060
1580000000000.0,2020-01-02 05:00:00+00:00,BCHUSDT,201.9,202.62,201.37,202.27,970.60254,196089.9543,962
1580000000000.0,2020-01-02 06:00:00+00:00,BCHUSDT,202.25,202.74,201.3,201.92,1353.57198,273125.4907,720
1580000000000.0,2020-01-02 07:00:00+00:00,BCHUSDT,201.94,202.24,200.84,201.56,2367.41524,476825.3473,1884
1580000000000.0,2020-01-02 08:00:00+00:00,BCHUSDT,201.54,203.38,201.54,203.28,2505.92858,508190.4844,1519
1580000000000.0,2020-01-02 09:00:00+00:00,BCHUSDT,203.29,203.5,202.57,203.36,1377.44664,279613.0368,1306
1580000000000.0,2020-01-02 10:00:00+00:00,BCHUSDT,203.37,204.01,203.02,203.5,1955.58308,398131.0147,1322
1580000000000.0,2020-01-02 11:00:00+00:00,BCHUSDT,203.48,203.7,202.29,202.34,1283.63492,260587.4757,1158
1580000000000.0,2020-01-02 12:00:00+00:00,BCHUSDT,202.2,203.46,202.2,203.32,878.85593,178301.5813,1060
1580000000000.0,2020-01-02 13:00:00+00:00,BCHUSDT,203.28,203.95,201.38,202.44,1944.73257,394065.4909,1525
1580000000000.0,2020-01-02 14:00:00+00:00,BCHUSDT,202.45,204.25,202.02,202.93,2783.64898,565385.9858,1695
1580000000000.0,2020-01-02 15:00:00+00:00,BCHUSDT,202.93,203.94,202.08,202.58,1413.47756,286909.9481,1505
1580000000000.0,2020-01-02 16:00:00+00:00,BCHUSDT,202.55,203.3,198.32,199.18,5976.3589,1197282.239,4660
1580000000000.0,2020-01-02 17:00:00+00:00,BCHUSDT,199.12,199.12,195.64,197.12,13597.5489,2680237.054,10125
1580000000000.0,2020-01-02 18:00:00+00:00,BCHUSDT,197.16,197.25,196.44,196.75,1796.78847,353617.065,1377
1580000000000.0,2020-01-02 19:00:00+00:00,BCHUSDT,196.79,197.03,195.86,196.13,2270.71312,445734.1333,1559
1580000000000.0,2020-01-02 20:00:00+00:00,BCHUSDT,196.14,196.81,192.8,194.85,9458.65831,1842052.332,7617
1580000000000.0,2020-01-02 21:00:00+00:00,BCHUSDT,194.85,195.12,193.57,194.85,3387.2147,658035.9138,3915
1580000000000.0,2020-01-02 22:00:00+00:00,BCHUSDT,194.82,195.57,194.5,195.48,1081.44137,210800.1213,696
1580000000000.0,2020-01-02 23:00:00+00:00,BCHUSDT,195.39,196.08,194.74,195.49,3247.11693,634335.9821,3456
1580000000000.0,2020-01-03 00:00:00+00:00,BCHUSDT,195.49,195.97,193.6,194.31,2659.09706,518617.75,1818
1580000000000.0,2020-01-03 01:00:00+00:00,BCHUSDT,194.31,194.45,191.9,192.28,3440.85742,665129.7569,2308
1580000000000.0,2020-01-03 02:00:00+00:00,BCHUSDT,192.34,195.97,191.9,195.58,4734.86261,919916.8059,3730
1580000000000.0,2020-01-03 03:00:00+00:00,BCHUSDT,195.58,195.84,194.8,195.56,1772.72438,346369.3771,1854
1580000000000.0,2020-01-03 04:00:00+00:00,BCHUSDT,195.57,205.32,195.51,203.04,26529.78222,5347652.385,13426
1580000000000.0,2020-01-03 05:00:00+00:00,BCHUSDT,203.14,204.71,202.25,204.2,7843.79267,1595244.164,4491
1580000000000.0,2020-01-03 06:00:00+00:00,BCHUSDT,204.16,208.0,203.05,205.69,14138.75054,2897136.603,6969
1580000000000.0,2020-01-03 07:00:00+00:00,BCHUSDT,205.82,208.0,205.28,206.06,9911.40671,2046346.905,7132
1580000000000.0,2020-01-03 08:00:00+00:00,BCHUSDT,206.01,211.31,205.46,210.61,13337.14764,2785671.447,5685
1580000000000.0,2020-01-03 09:00:00+00:00,BCHUSDT,210.61,215.35,210.46,214.0,15037.18891,3203934.104,7048
1580000000000.0,2020-01-03 10:00:00+00:00,BCHUSDT,213.96,214.6,211.5,212.42,11351.7158,2412923.666,6109
1580000000000.0,2020-01-03 11:00:00+00:00,BCHUSDT,212.41,214.75,212.08,213.73,6267.90421,1337390.437,4914
1580000000000.0,2020-01-03 12:00:00+00:00,BCHUSDT,213.74,214.79,212.88,213.37,5626.37636,1202525.976,2874
1580000000000.0,2020-01-03 13:00:00+00:00,BCHUSDT,213.46,219.0,213.19,216.87,13129.02228,2840407.98,6419
1580000000000.0,2020-01-03 14:00:00+00:00,BCHUSDT,216.9,217.47,212.36,212.39,14395.18623,3077001.219,7283
1580000000000.0,2020-01-03 15:00:00+00:00,BCHUSDT,212.37,216.8,212.37,216.44,9327.84287,2006782.098,5455
1580000000000.0,2020-01-03 16:00:00+00:00,BCHUSDT,216.51,224.0,215.55,223.57,32024.79456,7089603.096,16318
1580000000000.0,2020-01-03 17:00:00+00:00,BCHUSDT,223.62,226.0,220.12,221.32,14752.79294,3281158.157,7919
1580000000000.0,2020-01-03 18:00:00+00:00,BCHUSDT,221.45,222.0,220.0,220.61,5741.92418,1268075.892,2999
1580000000000.0,2020-01-03 19:00:00+00:00,BCHUSDT,220.53,221.46,217.18,221.45,7700.35079,1688457.504,4249
1580000000000.0,2020-01-03 20:00:00+00:00,BCHUSDT,221.45,222.14,219.06,221.45,3906.06326,862031.9295,2582
1580000000000.0,2020-01-03 21:00:00+00:00,BCHUSDT,221.37,222.48,219.33,220.04,3071.62647,678509.0965,2344
1580000000000.0,2020-01-03 22:00:00+00:00,BCHUSDT,220.04,222.52,220.04,221.95,4131.67899,912771.3205,3367
1580000000000.0,2020-01-03 23:00:00+00:00,BCHUSDT,221.94,224.06,221.61,222.43,5318.28563,1184207.175,3400
1580000000000.0,2020-01-04 00:00:00+00:00,BCHUSDT,222.38,223.29,219.56,221.0,4906.71802,1085615.687,3174
1580000000000.0,2020-01-04 01:00:00+00:00,BCHUSDT,221.01,221.09,219.57,220.23,3544.22025,780494.2643,3048
1580000000000.0,2020-01-04 02:00:00+00:00,BCHUSDT,220.23,223.61,219.62,223.46,3786.17072,838413.0443,2828
1580000000000.0,2020-01-04 03:00:00+00:00,BCHUSDT,223.42,223.42,221.6,221.62,3446.76772,766951.2394,2290
1580000000000.0,2020-01-04 04:00:00+00:00,BCHUSDT,221.65,222.59,220.3,222.09,2429.1319,537725.0605,1616
1580000000000.0,2020-01-04 05:00:00+00:00,BCHUSDT,222.17,223.06,221.22,222.72,2635.9775,586315.9062,1759
1580000000000.0,2020-01-04 06:00:00+00:00,BCHUSDT,222.7,224.77,222.53,224.58,7752.79156,1734670.078,4802
1580000000000.0,2020-01-04 07:00:00+00:00,BCHUSDT,224.49,225.15,222.77,223.87,4505.03179,1009688.238,2884
1580000000000.0,2020-01-04 08:00:00+00:00,BCHUSDT,223.8,224.63,221.93,223.33,5089.46762,1138175.421,4220
1580000000000.0,2020-01-04 09:00:00+00:00,BCHUSDT,223.45,225.5,222.46,224.95,3430.86398,768672.6541,3161
1580000000000.0,2020-01-04 10:00:00+00:00,BCHUSDT,225.03,227.64,223.6,224.08,11359.95125,2563175.772,5690
1580000000000.0,2020-01-04 11:00:00+00:00,BCHUSDT,223.89,225.2,222.55,224.76,4069.85758,912534.8676,2356
1580000000000.0,2020-01-04 12:00:00+00:00,BCHUSDT,224.76,224.89,220.13,221.14,10960.98132,2429555.935,5739
1580000000000.0,2020-01-04 13:00:00+00:00,BCHUSDT,221.11,222.82,220.3,221.6,6944.13614,1538214.976,4997
1580000000000.0,2020-01-04 14:00:00+00:00,BCHUSDT,221.59,222.25,220.84,221.14,2317.70391,513902.7794,1506
1580000000000.0,2020-01-04 15:00:00+00:00,BCHUSDT,221.22,222.77,220.34,221.85,4204.59109,931906.1653,2959
1580000000000.0,2020-01-04 16:00:00+00:00,BCHUSDT,221.75,224.49,221.11,222.15,5629.98491,1253702.976,3136
1580000000000.0,2020-01-04 17:00:00+00:00,BCHUSDT,222.01,224.33,221.94,224.29,2297.29051,512833.0908,1705
1580000000000.0,2020-01-04 18:00:00+00:00,BCHUSDT,224.27,226.77,221.5,222.34,11136.57916,2493456.844,6061
1580000000000.0,2020-01-04 19:00:00+00:00,BCHUSDT,222.35,225.19,221.54,224.29,3468.94932,775521.5747,2752
1580000000000.0,2020-01-04 20:00:00+00:00,BCHUSDT,224.29,225.0,223.7,224.51,1456.2094,326895.6125,1379
1580000000000.0,2020-01-04 21:00:00+00:00,BCHUSDT,224.51,225.03,223.56,224.38,1811.24003,406340.7535,1390
1580000000000.0,2020-01-04 22:00:00+00:00,BCHUSDT,224.36,225.0,223.7,224.25,1276.17267,286167.0087,1449
1580000000000.0,2020-01-04 23:00:00+00:00,BCHUSDT,224.24,225.05,222.94,224.47,1854.85588,415803.7598,1654
1580000000000.0,2020-01-05 00:00:00+00:00,BCHUSDT,224.45,227.08,224.45,225.78,6407.16609,1447120.14,4166
1580000000000.0,2020-01-05 01:00:00+00:00,BCHUSDT,225.76,227.63,225.26,226.13,8565.87416,1941342.793,4187
1580000000000.0,2020-01-05 02:00:00+00:00,BCHUSDT,226.12,226.57,224.6,225.17,4883.1266,1101221.518,3498
1580000000000.0,2020-01-05 03:00:00+00:00,BCHUSDT,225.14,226.15,225.04,226.06,2604.78196,587699.3688,1652
1580000000000.0,2020-01-05 04:00:00+00:00,BCHUSDT,226.08,226.5,222.62,224.41,6272.73206,1404955.778,4271
1580000000000.0,2020-01-05 05:00:00+00:00,BCHUSDT,224.42,224.51,223.01,224.15,2585.98386,578394.496,1803
1580000000000.0,2020-01-05 06:00:00+00:00,BCHUSDT,224.12,225.43,223.89,224.47,2459.61421,552683.698,1797
1580000000000.0,2020-01-05 07:00:00+00:00,BCHUSDT,224.45,224.66,223.81,223.98,2574.32343,576961.323,1258
1580000000000.0,2020-01-05 08:00:00+00:00,BCHUSDT,224.07,224.46,220.8,221.66,4841.07067,1077550.285,2675
1580000000000.0,2020-01-05 09:00:00+00:00,BCHUSDT,221.66,222.89,220.6,222.52,4336.79226,962418.1799,2411
1580000000000.0,2020-01-05 10:00:00+00:00,BCHUSDT,222.5,222.88,221.2,221.86,3321.5332,737225.803,1817
1580000000000.0,2020-01-05 11:00:00+00:00,BCHUSDT,221.87,223.47,221.67,222.54,2873.16492,639439.7984,1824
1580000000000.0,2020-01-05 12:00:00+00:00,BCHUSDT,222.59,225.23,222.56,225.1,3657.69426,819356.9291,2664
1580000000000.0,2020-01-05 13:00:00+00:00,BCHUSDT,225.13,225.24,223.0,223.84,2639.00021,591446.394,1916
1580000000000.0,2020-01-05 14:00:00+00:00,BCHUSDT,223.95,224.63,223.29,223.29,1407.12963,315370.0115,1251
1580000000000.0,2020-01-05 15:00:00+00:00,BCHUSDT,223.3,226.6,223.23,225.29,5585.39678,1256331.232,3734
1580000000000.0,2020-01-05 16:00:00+00:00,BCHUSDT,225.26,226.49,222.63,223.32,6410.72345,1440311.979,3715
1580000000000.0,2020-01-05 17:00:00+00:00,BCHUSDT,223.3,225.0,222.31,224.45,4368.86713,977642.6405,2601
1580000000000.0,2020-01-05 18:00:00+00:00,BCHUSDT,224.41,225.29,223.34,224.44,2377.47282,533017.8408,1949
1580000000000.0,2020-01-05 19:00:00+00:00,BCHUSDT,224.39,224.77,223.78,224.2,1268.62032,284573.9965,1162
1580000000000.0,2020-01-05 20:00:00+00:00,BCHUSDT,224.01,224.65,223.6,223.95,1491.41777,334095.8299,1203
1580000000000.0,2020-01-05 21:00:00+00:00,BCHUSDT,223.99,223.99,221.44,221.6,4771.85343,1062065.407,2546
1580000000000.0,2020-01-05 22:00:00+00:00,BCHUSDT,221.57,222.94,221.36,222.71,2289.51367,508674.6827,1781
1580000000000.0,2020-01-05 23:00:00+00:00,BCHUSDT,222.69,223.48,221.78,222.79,2344.43129,522209.9413,1715
1580000000000.0,2020-01-06 00:00:00+00:00,BCHUSDT,222.82,224.15,222.2,224.15,2661.35719,593409.9785,1625
1580000000000.0,2020-01-06 01:00:00+00:00,BCHUSDT,224.14,235.4,223.32,232.83,23660.43954,5431890.786,10265
