Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.57784E+12,2020-01-01 01:00:00+00:00,BTCUSDT,7176.47,7230,7175.71,7216.27,883.052603,6365952.541,9033
1.57784E+12,2020-01-01 02:00:00+00:00,BTCUSDT,7215.52,7244.87,7211.41,7242.85,655.156809,4736719.388,7466
1.57785E+12,2020-01-01 03:00:00+00:00,BTCUSDT,7242.66,7245,7220,7225.01,783.724867,5667367.293,8337
1.57785E+12,2020-01-01 04:00:00+00:00,BTCUSDT,7225,7230,7215.03,7217.27,467.812578,3379093.85,5896
1.57785E+12,2020-01-01 05:00:00+00:00,BTCUSDT,7217.26,7229.76,7216.65,7224.21,344.670596,2489507.247,6529
1.57786E+12,2020-01-01 06:00:00+00:00,BTCUSDT,7224.24,7236.27,7221.51,7225.62,621.467023,4493048.246,9718
1.57786E+12,2020-01-01 07:00:00+00:00,BTCUSDT,7225.88,7232.94,7199.11,7209.83,627.344854,4528532.933,7848
1.57787E+12,2020-01-01 08:00:00+00:00,BTCUSDT,7209.83,7210,7180,7200.64,915.545974,6584766.369,8847
1.57787E+12,2020-01-01 09:00:00+00:00,BTCUSDT,7200.29,7210.51,7188,7188.77,636.386102,4580279.614,7177
1.57787E+12,2020-01-01 10:00:00+00:00,BTCUSDT,7189.07,7210,7185.2,7202,537.762804,3872434.239,6417
1.57788E+12,2020-01-01 11:00:00+00:00,BTCUSDT,7202.01,7237.73,7188.61,7197.2,1076.959481,7769838.368,11066
1.57788E+12,2020-01-01 12:00:00+00:00,BTCUSDT,7197.2,7233.33,7196.15,7225.59,868.75358,6269445.539,9402
1.57788E+12,2020-01-01 13:00:00+00:00,BTCUSDT,7225.84,7231.89,7212.88,7221.2,612.180902,4421321.607,7240
1.57789E+12,2020-01-01 14:00:00+00:00,BTCUSDT,7221.17,7234.97,7208.17,7221.43,617.714185,4461596.137,8130
1.57789E+12,2020-01-01 15:00:00+00:00,BTCUSDT,7221.6,7255,7218.29,7234.19,1393.888792,10083196.38,11777
1.57789E+12,2020-01-01 16:00:00+00:00,BTCUSDT,7234.2,7246.42,7214,7245.37,881.93278,6373549.307,9499
1.5779E+12,2020-01-01 17:00:00+00:00,BTCUSDT,7244.34,7249.99,7224.92,7236.83,1069.210567,7740371.194,9809
1.5779E+12,2020-01-01 18:00:00+00:00,BTCUSDT,7237.02,7246.72,7225.17,7240.67,611.693307,4426678.393,7712
1.57791E+12,2020-01-01 19:00:00+00:00,BTCUSDT,7240.8,7241,7225.49,7229.48,417.746637,3021175.275,5857
1.57791E+12,2020-01-01 20:00:00+00:00,BTCUSDT,7229.48,7242.98,7224.68,7236.73,391.834174,2834515.145,5465
1.57791E+12,2020-01-01 21:00:00+00:00,BTCUSDT,7237.26,7242.75,7227,7233.17,285.454078,2064937.494,5114
1.57792E+12,2020-01-01 22:00:00+00:00,BTCUSDT,7233.32,7234.49,7186,7197.99,769.030411,5542964.535,10399
1.57792E+12,2020-01-01 23:00:00+00:00,BTCUSDT,7197.62,7204.17,7175.15,7200.85,811.25016,5831304.444,7632
1.57792E+12,2020-01-02 00:00:00+00:00,BTCUSDT,7200.77,7212.5,7185.46,7211.02,391.352377,2817911.989,5470
1.57793E+12,2020-01-02 01:00:00+00:00,BTCUSDT,7211.04,7211.16,7185.11,7190.99,402.660139,2897039.581,5929
1.57793E+12,2020-01-02 02:00:00+00:00,BTCUSDT,7190.99,7191,7155.35,7169.02,1387.377886,9943525.166,14716
1.57793E+12,2020-01-02 03:00:00+00:00,BTCUSDT,7169.04,7169.06,7120.37,7129.61,1557.96443,11131079.15,15206
1.57794E+12,2020-01-02 04:00:00+00:00,BTCUSDT,7129.25,7161,7116.7,7142.21,1252.447877,8947150.493,12565
1.57794E+12,2020-01-02 05:00:00+00:00,BTCUSDT,7142.61,7152.05,7126.93,7138.93,569.50899,4066462.769,6580
1.57794E+12,2020-01-02 06:00:00+00:00,BTCUSDT,7138.93,7149.02,7121.43,7135.97,687.600665,4908674.727,7669
1.57795E+12,2020-01-02 07:00:00+00:00,BTCUSDT,7136.04,7140.63,7105,7110.57,1548.403823,11023285.85,13939
1.57795E+12,2020-01-02 08:00:00+00:00,BTCUSDT,7110.98,7157.48,7109.11,7154.36,1114.825128,7958329.31,11622
1.57796E+12,2020-01-02 09:00:00+00:00,BTCUSDT,7153.57,7165,7135.36,7162.01,840.001328,6004950.122,8198
1.57796E+12,2020-01-02 10:00:00+00:00,BTCUSDT,7162.18,7180,7153.33,7161.83,1446.219984,10364146.5,13126
1.57796E+12,2020-01-02 11:00:00+00:00,BTCUSDT,7161.89,7168.67,7139.03,7139.79,761.15657,5444262.39,8556
1.57797E+12,2020-01-02 12:00:00+00:00,BTCUSDT,7139.73,7163.4,7139.03,7158.29,794.030497,5679917.26,8754
1.57797E+12,2020-01-02 13:00:00+00:00,BTCUSDT,7158.86,7163.35,7107.43,7131.15,1566.280693,11164418.96,13621
1.57797E+12,2020-01-02 14:00:00+00:00,BTCUSDT,7131.18,7157.1,7122.34,7135.59,956.300925,6824754.436,10776
1.57798E+12,2020-01-02 15:00:00+00:00,BTCUSDT,7135.59,7152,7120,7130.98,862.429718,6152565.71,8782
1.57798E+12,2020-01-02 16:00:00+00:00,BTCUSDT,7130.37,7146.85,7020,7052.32,3604.474152,25521442.63,27013
1.57798E+12,2020-01-02 17:00:00+00:00,BTCUSDT,7052.32,7053.09,6924.74,6970.04,6183.82554,43147556.9,45957
1.57799E+12,2020-01-02 18:00:00+00:00,BTCUSDT,6970.04,6989.68,6949.96,6974.02,1513.597939,10548349.68,13965
1.57799E+12,2020-01-02 19:00:00+00:00,BTCUSDT,6974.02,6995,6960,6983.27,1397.130602,9750502.505,14642
1.578E+12,2020-01-02 20:00:00+00:00,BTCUSDT,6982.63,6983.22,6941.27,6948.49,1138.646334,7926144.84,10215
1.578E+12,2020-01-02 21:00:00+00:00,BTCUSDT,6948.16,6985,6946.2,6977.73,665.856715,4638526.409,8036
1.578E+12,2020-01-02 22:00:00+00:00,BTCUSDT,6977.55,6978.24,6963.02,6974.8,568.324029,3961003.445,8665
1.57801E+12,2020-01-02 23:00:00+00:00,BTCUSDT,6974.8,6974.8,6950,6965.71,741.067591,5160340.486,8665
1.57801E+12,2020-01-03 00:00:00+00:00,BTCUSDT,6965.49,6966.47,6912.88,6937,1106.732043,7682684.252,11910
1.57801E+12,2020-01-03 01:00:00+00:00,BTCUSDT,6937,6946.07,6878.19,6888.85,2402.581684,16598356.35,19122
1.57802E+12,2020-01-03 02:00:00+00:00,BTCUSDT,6888.26,6966.8,6871.04,6956.88,2869.993553,19890221.8,22447
1.57802E+12,2020-01-03 03:00:00+00:00,BTCUSDT,6957.66,6966.36,6940,6952.04,1246.589508,8665052.187,10323
1.57802E+12,2020-01-03 04:00:00+00:00,BTCUSDT,6952.04,7264.71,6948.64,7210.19,9560.897697,68233808.8,58889
1.57803E+12,2020-01-03 05:00:00+00:00,BTCUSDT,7210.2,7249,7168.48,7220.47,3575.770965,25747383.98,23043
1.57803E+12,2020-01-03 06:00:00+00:00,BTCUSDT,7220.49,7225,7190.14,7202.22,2075.25916,14952700.82,15059
1.57803E+12,2020-01-03 07:00:00+00:00,BTCUSDT,7202.06,7232,7185.04,7203.21,2185.376884,15764122.99,15969
