Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1.58E+12,2020-01-01 01:00:00+00:00,BTCUSDT,7171.43,7225,7171.1,7210.24,3865.038,27838046.01,6635
1.58E+12,2020-01-01 02:00:00+00:00,BTCUSDT,7210.38,7239.3,7206.46,7237.99,3228.365,23324810.41,5120
1.58E+12,2020-01-01 03:00:00+00:00,BTCUSDT,7237.41,7239.74,7215,7221.65,2513.307,18161821.86,4143
1.58E+12,2020-01-01 04:00:00+00:00,BTCUSDT,7221.8,7225.41,7211.22,7213.86,1176.666,8493630.868,1966
1.58E+12,2020-01-01 05:00:00+00:00,BTCUSDT,7213.86,7224.09,7213.86,7220.31,928.221,6700390.107,1763
1.58E+12,2020-01-01 06:00:00+00:00,BTCUSDT,7220.31,7230,7217.6,7221,1283.557,9273283.128,2251
1.58E+12,2020-01-01 07:00:00+00:00,BTCUSDT,7220.99,7227.2,7193.52,7205.26,2349.907,16943391.1,4318
1.58E+12,2020-01-01 08:00:00+00:00,BTCUSDT,7205.26,7206.29,7174,7195.24,3385.349,24333301.76,9921
1.58E+12,2020-01-01 09:00:00+00:00,BTCUSDT,7195.23,7204.99,7182.76,7184.45,1687.285,12137547.35,3120
1.58E+12,2020-01-01 10:00:00+00:00,BTCUSDT,7184.46,7205,7181.43,7197.25,1222.531,8797423.883,2665
1.58E+12,2020-01-01 11:00:00+00:00,BTCUSDT,7197.27,7234.57,7185.01,7192.65,3741.128,26971223.21,7721
1.58E+12,2020-01-01 12:00:00+00:00,BTCUSDT,7192.74,7224.26,7191.79,7220.72,2419.669,17448057.54,4554
1.58E+12,2020-01-01 13:00:00+00:00,BTCUSDT,7220.72,7226.9,7210,7215.54,1826.277,13184325.84,3054
1.58E+12,2020-01-01 14:00:00+00:00,BTCUSDT,7215.49,7228.47,7204,7216.8,2546.332,18379130.68,3980
1.58E+12,2020-01-01 15:00:00+00:00,BTCUSDT,7216.8,7260.43,7215,7229.49,4218.25,30505057.22,7596
1.58E+12,2020-01-01 16:00:00+00:00,BTCUSDT,7229.66,7247,7210.81,7241.91,2453.81,17731854.49,4071
1.58E+12,2020-01-01 17:00:00+00:00,BTCUSDT,7241.91,7248,7221.88,7233.8,2477.807,17930092,4085
1.58E+12,2020-01-01 18:00:00+00:00,BTCUSDT,7233.87,7241.95,7222,7237.47,1827.668,13217625.55,2792
1.58E+12,2020-01-01 19:00:00+00:00,BTCUSDT,7237.83,7237.83,7223.15,7226.35,1028.577,7434946.857,1707
1.58E+12,2020-01-01 20:00:00+00:00,BTCUSDT,7226.56,7242,7223.09,7233.3,1476.534,10678663.77,2239
1.58E+12,2020-01-01 21:00:00+00:00,BTCUSDT,7233.32,7238.79,7225,7229.71,1210.884,8754879.762,1838
1.58E+12,2020-01-01 22:00:00+00:00,BTCUSDT,7229.71,7229.71,7183.26,7195.01,4361.306,31414742.19,7244
1.58E+12,2020-01-01 23:00:00+00:00,BTCUSDT,7195,7199.5,7174,7197.57,3123.812,22448090.57,5400
1.58E+12,2020-01-02 00:00:00+00:00,BTCUSDT,7197.57,7209.59,7182.19,7208.29,1512.807,10888396.79,2722
1.58E+12,2020-01-02 01:00:00+00:00,BTCUSDT,7208.29,7208.3,7183.01,7188.73,1872.396,13467252.1,3272
1.58E+12,2020-01-02 02:00:00+00:00,BTCUSDT,7188.64,7188.64,7155,7166.56,5106.854,36588593.05,9696
1.58E+12,2020-01-02 03:00:00+00:00,BTCUSDT,7166.92,7166.92,7121,7127.29,4871.843,34787882.86,9568
1.58E+12,2020-01-02 04:00:00+00:00,BTCUSDT,7126.94,7159.3,7112.06,7139.36,4720.779,33708772.12,8807
1.58E+12,2020-01-02 05:00:00+00:00,BTCUSDT,7139.65,7149.37,7123.87,7135.44,2392.655,17077576.65,4282
1.58E+12,2020-01-02 06:00:00+00:00,BTCUSDT,7135.44,7145.36,7119.1,7132,2327.214,16599031.98,3882
1.58E+12,2020-01-02 07:00:00+00:00,BTCUSDT,7132,7137.91,7101,7107.56,6169.713,43907923.88,17696
1.58E+12,2020-01-02 08:00:00+00:00,BTCUSDT,7107.53,7153.26,7106.75,7148.56,5149.4,36746913,8547
1.58E+12,2020-01-02 09:00:00+00:00,BTCUSDT,7148.56,7163.99,7133.04,7159.41,3137.868,22425505.15,12044
1.58E+12,2020-01-02 10:00:00+00:00,BTCUSDT,7159.41,7175,7150.58,7157.81,4615.755,33064218.18,14905
1.58E+12,2020-01-02 11:00:00+00:00,BTCUSDT,7157.35,7164.95,7136.24,7136.24,2448.788,17506290.08,4237
1.58E+12,2020-01-02 12:00:00+00:00,BTCUSDT,7136.36,7160,7136.33,7155.08,1989.615,14226213.21,3422
