Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1.59438E+12,2020-07-10 10:00:00+00:00,DOGEUSDT,0.00375,0.0039134,0.0036478,0.0038842,544846390,2051708.892,4777
1.59438E+12,2020-07-10 11:00:00+00:00,DOGEUSDT,0.0038803,0.0038991,0.0037434,0.0037608,251820812,959742.051,2787
1.59438E+12,2020-07-10 12:00:00+00:00,DOGEUSDT,0.0037586,0.0038615,0.003672,0.0037809,189270883,714704.413,2212
1.59439E+12,2020-07-10 13:00:00+00:00,DOGEUSDT,0.0037787,0.00385,0.0037512,0.003777,130022721,492533.1675,1219
1.59439E+12,2020-07-10 14:00:00+00:00,DOGEUSDT,0.003779,0.0038456,0.0037567,0.0038156,114773756,435544.239,1320
1.59439E+12,2020-07-10 15:00:00+00:00,DOGEUSDT,0.0038236,0.0039762,0.003816,0.00386,288169777,1126117.97,2946
1.5944E+12,2020-07-10 16:00:00+00:00,DOGEUSDT,0.0038687,0.0039062,0.0037816,0.0038163,281297567,1080947.098,3539
1.5944E+12,2020-07-10 17:00:00+00:00,DOGEUSDT,0.0038143,0.003818,0.0036811,0.0036986,294295195,1100699.831,3704
1.5944E+12,2020-07-10 18:00:00+00:00,DOGEUSDT,0.003692,0.0036991,0.003523,0.0035665,439807369,1582683.602,4499
1.59441E+12,2020-07-10 19:00:00+00:00,DOGEUSDT,0.0035665,0.0036145,0.0034001,0.0035778,818286031,2869031.272,7679
1.59441E+12,2020-07-10 20:00:00+00:00,DOGEUSDT,0.0035778,0.0036885,0.00355,0.0036489,263415992,946356.3462,2554
1.59441E+12,2020-07-10 21:00:00+00:00,DOGEUSDT,0.0036489,0.0037166,0.0034857,0.0035329,434261068,1555803.926,3739
1.59442E+12,2020-07-10 22:00:00+00:00,DOGEUSDT,0.0035336,0.0035579,0.0034486,0.0035125,226193068,793040.6694,2392
1.59442E+12,2020-07-10 23:00:00+00:00,DOGEUSDT,0.0035125,0.003595,0.0034819,0.0035313,144735938,511520.6015,1822
1.59443E+12,2020-07-11 00:00:00+00:00,DOGEUSDT,0.0035313,0.0037,0.003495,0.0036225,183427027,656776.6465,2100
1.59443E+12,2020-07-11 01:00:00+00:00,DOGEUSDT,0.0036184,0.00366,0.0035698,0.0036125,126359012,457736.8873,1604
1.59443E+12,2020-07-11 02:00:00+00:00,DOGEUSDT,0.0036125,0.0036241,0.00353,0.0035586,99579446,356321.1941,1390
1.59444E+12,2020-07-11 03:00:00+00:00,DOGEUSDT,0.0035605,0.0035792,0.0035072,0.003515,113711789,402109.1944,1067
1.59444E+12,2020-07-11 04:00:00+00:00,DOGEUSDT,0.003516,0.003595,0.0034555,0.0035485,154212156,543499.9109,1973
1.59444E+12,2020-07-11 05:00:00+00:00,DOGEUSDT,0.0035539,0.0036159,0.0035243,0.0036123,69703917,248743.3751,896
1.59445E+12,2020-07-11 06:00:00+00:00,DOGEUSDT,0.0036138,0.0037072,0.003597,0.0036497,173384826,633912.7999,2248
1.59445E+12,2020-07-11 07:00:00+00:00,DOGEUSDT,0.0036532,0.0037629,0.0036459,0.0037573,170616942,632174.3691,2202
1.59445E+12,2020-07-11 08:00:00+00:00,DOGEUSDT,0.003757,0.00376,0.0036517,0.003714,177643944,658890.9164,2485
1.59446E+12,2020-07-11 09:00:00+00:00,DOGEUSDT,0.0037123,0.0037252,0.0035659,0.003619,156129157,567118.7783,1722
1.59446E+12,2020-07-11 10:00:00+00:00,DOGEUSDT,0.0036181,0.003667,0.0035915,0.0036124,57521388,208373.3077,690
1.59447E+12,2020-07-11 11:00:00+00:00,DOGEUSDT,0.003616,0.0036231,0.0035328,0.0035557,134234381,481159.9321,1306
1.59447E+12,2020-07-11 12:00:00+00:00,DOGEUSDT,0.0035587,0.003625,0.003558,0.0036136,75723778,271835.8403,1202
1.59447E+12,2020-07-11 13:00:00+00:00,DOGEUSDT,0.0036136,0.0036899,0.0035809,0.0036337,104026591,378727.6797,1272
1.59448E+12,2020-07-11 14:00:00+00:00,DOGEUSDT,0.0036304,0.00368,0.0036,0.0036688,74011116,268898.1395,904
1.59448E+12,2020-07-11 15:00:00+00:00,DOGEUSDT,0.0036632,0.0036695,0.0036295,0.0036368,53857312,196536.895,534
