Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1.59E+12,2020-07-10 10:00:00+00:00,DOGEUSDT,0.003736,0.003915,0.00363,0.003891,528377228,1991775.365,13082
1.59E+12,2020-07-10 11:00:00+00:00,DOGEUSDT,0.003891,0.0039,0.003687,0.003739,453535872,1715899.961,7509
1.59E+12,2020-07-10 12:00:00+00:00,DOGEUSDT,0.003739,0.003838,0.00369,0.003743,328382368,1236025.3,10201
1.59E+12,2020-07-10 13:00:00+00:00,DOGEUSDT,0.003743,0.00381,0.003704,0.003733,252982832,950614.5991,9000
1.59E+12,2020-07-10 14:00:00+00:00,DOGEUSDT,0.003733,0.003837,0.003721,0.003797,329725354,1244974.727,9218
1.59E+12,2020-07-10 15:00:00+00:00,DOGEUSDT,0.003796,0.003977,0.003785,0.003862,545164634,2124090.832,12005
1.59E+12,2020-07-10 16:00:00+00:00,DOGEUSDT,0.003866,0.003907,0.003782,0.003811,512360347,1969244.611,12054
1.59E+12,2020-07-10 17:00:00+00:00,DOGEUSDT,0.003811,0.003811,0.00364,0.00367,506648545,1886467.431,8512
1.59E+12,2020-07-10 18:00:00+00:00,DOGEUSDT,0.003666,0.003673,0.003461,0.00354,718572775,2557121.867,16055
1.59E+12,2020-07-10 19:00:00+00:00,DOGEUSDT,0.003538,0.003633,0.00338,0.003573,1121291585,3925381.636,19185
1.59E+12,2020-07-10 20:00:00+00:00,DOGEUSDT,0.003574,0.003693,0.003547,0.003653,459653859,1654507.711,7807
1.59E+12,2020-07-10 21:00:00+00:00,DOGEUSDT,0.003653,0.003714,0.003463,0.003546,639364559,2286541.576,10293
1.59E+12,2020-07-10 22:00:00+00:00,DOGEUSDT,0.003535,0.003578,0.00344,0.003514,342491912,1201710.053,7557
1.59E+12,2020-07-10 23:00:00+00:00,DOGEUSDT,0.003518,0.003613,0.003484,0.003535,239287522,848840.1833,4198
1.59E+12,2020-07-11 00:00:00+00:00,DOGEUSDT,0.003535,0.00367,0.003501,0.003627,307611363,1103287.646,4454
1.59E+12,2020-07-11 01:00:00+00:00,DOGEUSDT,0.003625,0.00367,0.003576,0.003616,234012892,848259.4187,4888
1.59E+12,2020-07-11 02:00:00+00:00,DOGEUSDT,0.003616,0.003641,0.00353,0.003568,233392640,835597.9741,3722
1.59E+12,2020-07-11 03:00:00+00:00,DOGEUSDT,0.003568,0.003578,0.003485,0.003511,167658856,591895.4979,3327
1.59E+12,2020-07-11 04:00:00+00:00,DOGEUSDT,0.003511,0.003584,0.003411,0.00354,362330560,1268003.405,7908
1.59E+12,2020-07-11 05:00:00+00:00,DOGEUSDT,0.00354,0.003614,0.003504,0.003605,130265469,463908.5963,2169
1.59E+12,2020-07-11 06:00:00+00:00,DOGEUSDT,0.003605,0.003688,0.003588,0.00364,268414117,976840.4435,3229
1.59E+12,2020-07-11 07:00:00+00:00,DOGEUSDT,0.00364,0.003752,0.003639,0.00375,270225023,1000236.848,5033
1.59E+12,2020-07-11 08:00:00+00:00,DOGEUSDT,0.00375,0.003756,0.003645,0.003703,264488537,978573.1787,4128
1.59E+12,2020-07-11 09:00:00+00:00,DOGEUSDT,0.003704,0.00371,0.00356,0.003612,264511103,959139.234,4392
1.59E+12,2020-07-11 10:00:00+00:00,DOGEUSDT,0.003612,0.003666,0.003598,0.003617,156696812,568347.5387,2587
1.59E+12,2020-07-11 11:00:00+00:00,DOGEUSDT,0.003617,0.003629,0.00355,0.003564,148590793,534102.0772,2801
1.59E+12,2020-07-11 12:00:00+00:00,DOGEUSDT,0.003564,0.00363,0.003558,0.003608,182292452,654929.24,3400
1.59E+12,2020-07-11 13:00:00+00:00,DOGEUSDT,0.003614,0.003699,0.003582,0.003633,238080953,867704.6185,5181
1.59E+12,2020-07-11 14:00:00+00:00,DOGEUSDT,0.003633,0.003678,0.003582,0.003673,124901708,453384.0498,2475
1.59E+12,2020-07-11 15:00:00+00:00,DOGEUSDT,0.003673,0.003674,0.003629,0.003636,105407815,384480.9149,1943
1.59E+12,2020-07-11 16:00:00+00:00,DOGEUSDT,0.003637,0.003678,0.003605,0.003623,207149894,753087.8335,3595
1.59E+12,2020-07-11 17:00:00+00:00,DOGEUSDT,0.003621,0.003644,0.00361,0.003619,58046733,210437.174,1165
1.59E+12,2020-07-11 18:00:00+00:00,DOGEUSDT,0.003619,0.003703,0.003613,0.003701,164135594,601602.28,2622
1.59E+12,2020-07-11 19:00:00+00:00,DOGEUSDT,0.0037,0.003896,0.00369,0.003891,498154764,1881502.765,7705
1.59E+12,2020-07-11 20:00:00+00:00,DOGEUSDT,0.003892,0.00396,0.003827,0.003835,886710990,3455664.772,14384
1.59E+12,2020-07-11 21:00:00+00:00,DOGEUSDT,0.003838,0.003846,0.003751,0.003789,549980100,2090268.624,11070
1.59E+12,2020-07-11 22:00:00+00:00,DOGEUSDT,0.003785,0.003829,0.003771,0.003812,154260369,585485.7742,3581
1.59E+12,2020-07-11 23:00:00+00:00,DOGEUSDT,0.003811,0.003843,0.003773,0.003812,176835422,673697.3351,3391
1.59E+12,2020-07-12 00:00:00+00:00,DOGEUSDT,0.00381,0.003861,0.003765,0.003775,219889995,836044.5156,3894
1.59E+12,2020-07-12 01:00:00+00:00,DOGEUSDT,0.003775,0.003796,0.00372,0.003773,140631751,528649.9147,2444
1.59E+12,2020-07-12 02:00:00+00:00,DOGEUSDT,0.00377,0.003853,0.003767,0.003809,142041470,541400.8809,2962
1.59E+12,2020-07-12 03:00:00+00:00,DOGEUSDT,0.003808,0.003843,0.003783,0.003807,106263939,404520.0694,2086
1.59E+12,2020-07-12 04:00:00+00:00,DOGEUSDT,0.003805,0.003807,0.003764,0.003774,64582408,244337.7364,1662
1.59E+12,2020-07-12 05:00:00+00:00,DOGEUSDT,0.003775,0.003835,0.003749,0.003828,93415471,353360.5482,1831
1.59E+12,2020-07-12 06:00:00+00:00,DOGEUSDT,0.003828,0.00384,0.003772,0.003793,97619224,372022.462,2107
1.59E+12,2020-07-12 07:00:00+00:00,DOGEUSDT,0.003796,0.003814,0.003773,0.003783,49550768,187879.727,3000
1.59E+12,2020-07-12 08:00:00+00:00,DOGEUSDT,0.003783,0.003792,0.003739,0.003743,98383683,370277.3937,2281
1.59E+12,2020-07-12 09:00:00+00:00,DOGEUSDT,0.003742,0.003747,0.003664,0.003698,260631126,963126.2559,4086
1.59E+12,2020-07-12 10:00:00+00:00,DOGEUSDT,0.003697,0.003706,0.003666,0.003693,88961059,327761.8655,1923
1.59E+12,2020-07-12 11:00:00+00:00,DOGEUSDT,0.003693,0.003743,0.003687,0.003712,99571839,370397.2247,2357
1.59E+12,2020-07-12 12:00:00+00:00,DOGEUSDT,0.003712,0.003736,0.00369,0.003726,98060587,364130.3957,1995
1.59E+12,2020-07-12 13:00:00+00:00,DOGEUSDT,0.003727,0.00375,0.003573,0.003631,396614409,1445300.168,7294
1.59E+12,2020-07-12 14:00:00+00:00,DOGEUSDT,0.003632,0.003657,0.003608,0.003634,135112558,490264.7147,4519
1.59E+12,2020-07-12 15:00:00+00:00,DOGEUSDT,0.003634,0.003634,0.003597,0.003628,77448426,280117.4026,2377
1.59E+12,2020-07-12 16:00:00+00:00,DOGEUSDT,0.003627,0.003678,0.00361,0.003677,101116790,368930.794,1421
1.59E+12,2020-07-12 17:00:00+00:00,DOGEUSDT,0.003677,0.003685,0.003644,0.003666,58635862,215026.4109,1290
1.59E+12,2020-07-12 18:00:00+00:00,DOGEUSDT,0.003666,0.003695,0.003655,0.003684,61778882,227117.0833,1229
1.59E+12,2020-07-12 19:00:00+00:00,DOGEUSDT,0.003685,0.003685,0.003627,0.003667,92052968,336232.3934,2322
1.59E+12,2020-07-12 20:00:00+00:00,DOGEUSDT,0.003667,0.003669,0.003609,0.003623,92076576,335055.5845,1869
1.59E+12,2020-07-12 21:00:00+00:00,DOGEUSDT,0.003625,0.00366,0.003605,0.003634,56369327,204867.9238,1691
1.59E+12,2020-07-12 22:00:00+00:00,DOGEUSDT,0.003636,0.00368,0.003604,0.003668,107573478,391430.0796,2453
1.59E+12,2020-07-12 23:00:00+00:00,DOGEUSDT,0.003671,0.003679,0.003627,0.003648,94300144,344047.6329,1888
1.59E+12,2020-07-13 00:00:00+00:00,DOGEUSDT,0.003647,0.00366,0.003607,0.003613,135182691,490530.7504,2618
1.59E+12,2020-07-13 01:00:00+00:00,DOGEUSDT,0.003616,0.00364,0.003452,0.003468,465683767,1644625.775,8632
1.59E+12,2020-07-13 02:00:00+00:00,DOGEUSDT,0.003465,0.003527,0.003421,0.003484,239819139,833227.1125,4522
1.59E+12,2020-07-13 03:00:00+00:00,DOGEUSDT,0.003483,0.003539,0.003463,0.00351,103737277,363148.1001,2372
1.59E+12,2020-07-13 04:00:00+00:00,DOGEUSDT,0.003512,0.003557,0.003502,0.003535,98225062,346935.899,2216
1.59E+12,2020-07-13 05:00:00+00:00,DOGEUSDT,0.003535,0.003578,0.003532,0.003553,85476850,304044.7261,1896
1.59E+12,2020-07-13 06:00:00+00:00,DOGEUSDT,0.003551,0.003568,0.003471,0.003502,120084176,421386.8767,2378
1.59E+12,2020-07-13 07:00:00+00:00,DOGEUSDT,0.003499,0.003537,0.003496,0.003527,65043339,228795.3338,1366
1.59E+12,2020-07-13 08:00:00+00:00,DOGEUSDT,0.003527,0.003572,0.003521,0.003554,150237825,533797.6006,2807
1.59E+12,2020-07-13 09:00:00+00:00,DOGEUSDT,0.003554,0.003564,0.003493,0.003512,127616398,449939.2208,2876
1.59E+12,2020-07-13 10:00:00+00:00,DOGEUSDT,0.003515,0.00355,0.00351,0.003519,88084591,310875.4187,2032
1.59E+12,2020-07-13 11:00:00+00:00,DOGEUSDT,0.003519,0.003544,0.003507,0.003527,70465833,248115.2192,1352
1.59E+12,2020-07-13 12:00:00+00:00,DOGEUSDT,0.003527,0.003548,0.003488,0.00349,139966567,490878.5452,3345
1.59E+12,2020-07-13 13:00:00+00:00,DOGEUSDT,0.003489,0.003504,0.003182,0.003196,1386257397,4609529.72,21741
1.59E+12,2020-07-13 14:00:00+00:00,DOGEUSDT,0.003196,0.003297,0.003164,0.003251,951595342,3089377.879,14945
1.59E+12,2020-07-13 15:00:00+00:00,DOGEUSDT,0.003248,0.003297,0.003233,0.00329,393589264,1286913.984,7957
1.59E+12,2020-07-13 16:00:00+00:00,DOGEUSDT,0.00329,0.003328,0.00326,0.003305,255875959,843542.1967,3625
1.59E+12,2020-07-13 17:00:00+00:00,DOGEUSDT,0.003304,0.00332,0.003246,0.003264,163613318,536437.0141,4130
1.59E+12,2020-07-13 18:00:00+00:00,DOGEUSDT,0.003261,0.003264,0.003135,0.003204,446493367,1428962.704,9281
1.59E+12,2020-07-13 19:00:00+00:00,DOGEUSDT,0.003203,0.003206,0.002942,0.003049,1078844010,3293045.409,18883
1.59E+12,2020-07-13 20:00:00+00:00,DOGEUSDT,0.003048,0.003197,0.00304,0.003153,558818819,1751101.444,9990
1.59E+12,2020-07-13 21:00:00+00:00,DOGEUSDT,0.003151,0.003171,0.00309,0.003096,299991030,937735.4198,5337
1.59E+12,2020-07-13 22:00:00+00:00,DOGEUSDT,0.003096,0.003153,0.003074,0.003141,185561487,576766.4282,3796
1.59E+12,2020-07-13 23:00:00+00:00,DOGEUSDT,0.003142,0.003191,0.003105,0.003159,144232014,453651.934,3126
1.59E+12,2020-07-14 00:00:00+00:00,DOGEUSDT,0.003159,0.003164,0.003117,0.003143,103287049,324511.0267,2354
1.59E+12,2020-07-14 01:00:00+00:00,DOGEUSDT,0.003141,0.00318,0.0031,0.003157,142094630,446527.5932,2845
1.59E+12,2020-07-14 02:00:00+00:00,DOGEUSDT,0.00315,0.003156,0.003121,0.00313,67598913,212110.6521,1531
1.59E+12,2020-07-14 03:00:00+00:00,DOGEUSDT,0.003127,0.003141,0.003113,0.003118,51966270,162459.4071,1360
1.59E+12,2020-07-14 04:00:00+00:00,DOGEUSDT,0.00312,0.00312,0.003014,0.003055,293881671,899425.1601,5773
1.59E+12,2020-07-14 05:00:00+00:00,DOGEUSDT,0.003055,0.003079,0.003028,0.003078,134275389,410092.0788,2497
1.59E+12,2020-07-14 06:00:00+00:00,DOGEUSDT,0.003075,0.003191,0.003073,0.003149,281656652,885239.2879,5469
1.59E+12,2020-07-14 07:00:00+00:00,DOGEUSDT,0.003147,0.00315,0.003088,0.003141,216367273,674756.9953,4608
