Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.58E+12,2020-01-01 01:00:00+00:00,ETHUSDT,128.87,130.65,128.78,130.64,11344.65516,1474278.482,4885
1.58E+12,2020-01-01 02:00:00+00:00,ETHUSDT,130.63,130.98,130.35,130.85,7603.35623,994025.6141,3046
1.58E+12,2020-01-01 03:00:00+00:00,ETHUSDT,130.85,130.89,129.94,130.2,4968.55433,647360.9529,2818
1.58E+12,2020-01-01 04:00:00+00:00,ETHUSDT,130.21,130.74,130.15,130.2,3397.90747,443006.6507,2264
1.58E+12,2020-01-01 05:00:00+00:00,ETHUSDT,130.2,130.47,130.11,130.3,4243.6064,552972.708,2426
1.58E+12,2020-01-01 06:00:00+00:00,ETHUSDT,130.31,130.75,130.26,130.44,3668.90166,478944.1589,2347
1.58E+12,2020-01-01 07:00:00+00:00,ETHUSDT,130.47,130.71,130.14,130.24,4147.17413,540770.7405,2568
1.58E+12,2020-01-01 08:00:00+00:00,ETHUSDT,130.24,130.41,129.87,130.36,7541.44497,980893.9688,3039
1.58E+12,2020-01-01 09:00:00+00:00,ETHUSDT,130.4,130.62,130.13,130.17,4808.20496,626819.0426,2696
1.58E+12,2020-01-01 10:00:00+00:00,ETHUSDT,130.17,130.82,130.07,130.7,4625.5017,603575.622,2618
1.58E+12,2020-01-01 11:00:00+00:00,ETHUSDT,130.67,131.87,130.6,130.74,10847.79032,1424063.186,5977
1.58E+12,2020-01-01 12:00:00+00:00,ETHUSDT,130.74,131.61,130.7,131.61,4163.30667,546070.766,2862
1.58E+12,2020-01-01 13:00:00+00:00,ETHUSDT,131.6,131.9,131.28,131.68,7160.65302,942366.9261,3633
1.58E+12,2020-01-01 14:00:00+00:00,ETHUSDT,131.66,132.37,131.24,131.96,7325.25762,966235.3535,3338
1.58E+12,2020-01-01 15:00:00+00:00,ETHUSDT,131.95,132.4,131.6,132.08,5361.06926,707383.0386,3148
1.58E+12,2020-01-01 16:00:00+00:00,ETHUSDT,132.08,132.95,131.78,132.85,6915.20906,914643.3979,3642
1.58E+12,2020-01-01 17:00:00+00:00,ETHUSDT,132.86,133.05,132.27,132.34,5424.00732,719397.7059,3135
1.58E+12,2020-01-01 18:00:00+00:00,ETHUSDT,132.34,132.46,131.57,132.04,5707.7934,753243.7426,2931
1.58E+12,2020-01-01 19:00:00+00:00,ETHUSDT,132.04,132.16,131.62,131.86,2111.21443,278355.748,1995
1.58E+12,2020-01-01 20:00:00+00:00,ETHUSDT,131.86,132.25,131.7,132.18,2014.79285,266048.4115,1988
1.58E+12,2020-01-01 21:00:00+00:00,ETHUSDT,132.17,132.37,131.68,131.78,4879.42025,644006.0357,2410
1.58E+12,2020-01-01 22:00:00+00:00,ETHUSDT,131.82,131.82,129.9,130.27,14876.06749,1943371.938,6386
1.58E+12,2020-01-01 23:00:00+00:00,ETHUSDT,130.28,130.87,129.74,130.77,3865.45991,503554.5998,3232
1.58E+12,2020-01-02 00:00:00+00:00,ETHUSDT,130.72,130.78,130.27,130.67,3772.6667,492526.6896,2565
1.58E+12,2020-01-02 01:00:00+00:00,ETHUSDT,130.66,130.67,130.12,130.15,3684.51912,480344.108,2414
1.58E+12,2020-01-02 02:00:00+00:00,ETHUSDT,130.14,130.16,128.89,129.72,19078.42209,2469243.433,8599
1.58E+12,2020-01-02 03:00:00+00:00,ETHUSDT,129.71,129.71,128.77,129.1,11950.18634,1544525.974,5294
1.58E+12,2020-01-02 04:00:00+00:00,ETHUSDT,129.09,129.87,128.69,129.55,8931.67759,1156160.754,4813
1.58E+12,2020-01-02 05:00:00+00:00,ETHUSDT,129.57,129.75,129.3,129.63,7276.74256,942444.774,3106
1.58E+12,2020-01-02 06:00:00+00:00,ETHUSDT,129.6,129.99,129.15,129.42,4823.43405,625339.1237,2801
1.58E+12,2020-01-02 07:00:00+00:00,ETHUSDT,129.43,129.67,128.96,129.26,6548.36046,846671.7516,3273
1.58E+12,2020-01-02 08:00:00+00:00,ETHUSDT,129.23,130.27,129.21,130.21,7205.6708,935884.0117,3468
1.58E+12,2020-01-02 09:00:00+00:00,ETHUSDT,130.21,130.21,129.57,129.98,5828.65169,756664.8383,2645
1.58E+12,2020-01-02 10:00:00+00:00,ETHUSDT,129.97,130.28,129.66,129.72,8014.34789,1041588.937,3436
1.58E+12,2020-01-02 11:00:00+00:00,ETHUSDT,129.73,129.94,129.44,129.53,4293.24985,556530.1817,2533
1.58E+12,2020-01-02 12:00:00+00:00,ETHUSDT,129.52,129.99,129.52,129.96,3718.46074,482541.1611,2625
1.58E+12,2020-01-02 13:00:00+00:00,ETHUSDT,129.97,130.01,128.9,129.35,8547.00635,1106049.377,3870
1.58E+12,2020-01-02 14:00:00+00:00,ETHUSDT,129.34,129.86,129.21,129.37,5538.92471,716950.9269,2715
