Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1577840000000.0,2020-01-01 01:00:00+00:00,ETHUSDT,128.81,130.61,128.76,130.57,34755.256,4514483.581,3116
1577840000000.0,2020-01-01 02:00:00+00:00,ETHUSDT,130.58,130.97,130.3,130.8,21864.946,2857377.66,1807
1577850000000.0,2020-01-01 03:00:00+00:00,ETHUSDT,130.8,130.82,129.88,130.09,16823.171,2190835.344,1448
1577850000000.0,2020-01-01 04:00:00+00:00,ETHUSDT,130.1,130.63,130.09,130.15,11357.239,1480318.823,1065
1577850000000.0,2020-01-01 05:00:00+00:00,ETHUSDT,130.15,130.37,130.05,130.23,7851.208,1022470.85,834
1577860000000.0,2020-01-01 06:00:00+00:00,ETHUSDT,130.23,130.67,130.21,130.36,12698.171,1656415.144,1181
1577860000000.0,2020-01-01 07:00:00+00:00,ETHUSDT,130.36,130.6,130.0,130.17,14907.105,1942037.236,1169
1577870000000.0,2020-01-01 08:00:00+00:00,ETHUSDT,130.15,130.24,129.75,130.24,14712.157,1912017.908,1355
1577870000000.0,2020-01-01 09:00:00+00:00,ETHUSDT,130.24,130.49,130.01,130.03,7567.51,985720.4464,1067
1577870000000.0,2020-01-01 10:00:00+00:00,ETHUSDT,130.02,130.68,129.97,130.59,12393.915,1615959.623,1306
1577880000000.0,2020-01-01 11:00:00+00:00,ETHUSDT,130.59,131.88,130.5,130.64,35693.375,4683276.29,2741
1577880000000.0,2020-01-01 12:00:00+00:00,ETHUSDT,130.63,131.58,130.63,131.53,15314.035,2008066.04,1339
1577880000000.0,2020-01-01 13:00:00+00:00,ETHUSDT,131.57,131.97,131.18,131.55,15767.101,2074315.661,1430
1577890000000.0,2020-01-01 14:00:00+00:00,ETHUSDT,131.55,132.24,131.16,131.82,21989.252,2899058.699,2101
1577890000000.0,2020-01-01 15:00:00+00:00,ETHUSDT,131.87,132.49,131.52,131.97,22613.919,2983434.156,1845
1577890000000.0,2020-01-01 16:00:00+00:00,ETHUSDT,132.0,132.9,131.71,132.79,26228.975,3466593.193,2099
1577900000000.0,2020-01-01 17:00:00+00:00,ETHUSDT,132.8,132.96,132.22,132.31,23039.829,3053311.841,1755
1577900000000.0,2020-01-01 18:00:00+00:00,ETHUSDT,132.31,132.38,131.45,131.94,17695.871,2334762.111,1424
1577910000000.0,2020-01-01 19:00:00+00:00,ETHUSDT,131.94,132.04,131.53,131.79,11759.809,1549616.053,1158
1577910000000.0,2020-01-01 20:00:00+00:00,ETHUSDT,131.79,132.18,131.6,132.09,14358.92,1894212.291,1283
1577910000000.0,2020-01-01 21:00:00+00:00,ETHUSDT,132.09,132.25,131.57,131.77,18456.592,2435027.952,1468
1577920000000.0,2020-01-01 22:00:00+00:00,ETHUSDT,131.77,131.77,129.8,130.21,45005.5,5874611.117,3813
1577920000000.0,2020-01-01 23:00:00+00:00,ETHUSDT,130.21,130.78,129.54,130.62,28262.382,3677992.767,2115
1577920000000.0,2020-01-02 00:00:00+00:00,ETHUSDT,130.63,130.75,130.2,130.6,15892.61,2072878.981,1346
